# SNAP pin export table
#
# Product:	subset_0_of_ENMAP01-____L2A-DT0000074981_20240520T134757Z_009_V010402_20240602T200342Z
# Created on:	Thu Oct 03 14:25:33 BRT 2024

Name	X	Y	Lon	Lat	Color	Label	Desc
pin_1	127.66666666665891	212.33333333333334	-44.52108811632027	-20.132763203307835	java.awt.Color[r=0,g=0,b=255]	Água Limpa	
pin_2	358.0	355.3333333333333	-44.45484277897156	-20.17133612350183	java.awt.Color[r=255,g=200,b=0]	Água de Rejeito	
pin_3	266.3333333333333	237.0	-44.481265537991746	-20.13933732979603	java.awt.Color[r=255,g=102,b=255]	Solo Arenoso	
pin_4	193.33333333333334	375.6666666666667	-44.50209987057144	-20.176988297457164	java.awt.Color[r=153,g=0,b=153]	Solo Ferroso	
pin_6	133.33333333333334	327.3333333333333	-44.5193662702588	-20.163933725799385	java.awt.Color[r=204,g=0,b=0]	Solo Argiloso	
pin_7	367.9999999999845	283.3333333333333	-44.45204000440653	-20.15180921279949	java.awt.Color[r=51,g=0,b=51]	Minério de Ferro	
pin_8	576.9999999999651	252.0	-44.39207861390965	-20.143118453495546	java.awt.Color[r=0,g=102,b=102]	Mata Consolidada	
pin_9	233.66666666667055	386.3333333333333	-44.49051063040344	-20.179846710084192	java.awt.Color[r=0,g=51,b=0]	Mata de Galeria/Ciliar	
pin_10	165.66666666666666	390.33333333339544	-44.5100306622992	-20.1809865152402	java.awt.Color[r=153,g=255,b=153]	Pastagem	
pin_11	501.3333333333217	386.0	-44.413662098159676	-20.179516976557128	java.awt.Color[r=0,g=255,b=51]	Agrossilvipastoril	
pin_12	387.66666666666276	235.66666666666666	-44.446440111913454	-20.13886991050132	java.awt.Color[r=0,g=255,b=204]	Campo Rupestre	
pin_13	575.666666666624	195.33333333333334	-44.39252069742746	-20.127758506718106	java.awt.Color[r=255,g=0,b=0]	Solo Laterítico	
